City,Date,Area,SPM,NO,NO2,NOx,CO,SO2,RSPM,AQI,AQI_Bucket
Ahmedabad,01-03-2023,"Residential, Rural and other Areas",88.5,0.92,18.22,17.15,0.92,27.64,133.36,,
Ahmedabad,02-03-2023,Industrial Area,84.47,0.97,15.69,16.46,0.97,24.55,34.06,,
Ahmedabad,03-03-2023,"Residential, Rural and other Areas",73.54,17.4,19.3,29.7,17.4,29.07,30.7,,
Ahmedabad,04-03-2023,"Residential, Rural and other Areas",53.89,1.7,18.48,17.97,1.7,18.59,36.08,,
Ahmedabad,05-03-2023,Industrial Area,60.08,22.1,21.42,37.76,22.1,39.33,39.31,,
Ahmedabad,06-03-2023,"Residential, Rural and other Areas",53.13,45.41,38.48,81.5,45.41,45.76,46.51,,
Ahmedabad,07-03-2023,"Residential, Rural and other Areas",71.3,112.16,40.62,130.77,112.16,32.28,33.47,,
Ahmedabad,08-03-2023,Industrial Area,37.9,80.87,36.74,96.75,80.87,38.54,31.89,,
Ahmedabad,09-03-2023,"Residential, Rural and other Areas",78.18,29.16,31,48,29.16,58.68,25.75,,
Ahmedabad,10-03-2023,Industrial Area,56.35,,7.04,0,,8.29,4.55,,
Ahmedabad,11-03-2023,"Residential, Rural and other Areas",59.66,132.07,55.8,24.53,132.07,25.03,6.79,,
Ahmedabad,12-03-2023,"Residential, Rural and other Areas",114.6,52.04,40.67,90.24,52.04,51.84,45.89,,
Ahmedabad,13-03-2023,Industrial Area,74.48,48.82,44.2,87.09,48.82,68.21,35.16,,
Ahmedabad,14-03-2023,"Residential, Rural and other Areas",81.11,19.2,27.86,33.05,19.2,52.65,20.96,,
Ahmedabad,15-03-2023,"Residential, Rural and other Areas",100.39,0.6,16.96,16.6,0.6,28.89,47.63,,
Ahmedabad,16-03-2023,"Residential, Rural and other Areas",39.97,1.63,21.72,22.86,1.63,38.27,46.03,,
Ahmedabad,17-03-2023,Industrial Area,53.61,11.44,24.73,34.75,11.44,49.5,52.24,,
Ahmedabad,18-03-2023,"Residential, Rural and other Areas",63.06,6.1,25.77,29.57,6.1,48.43,53.49,,
Ahmedabad,19-03-2023,Industrial Area,46.17,2.51,26.88,27.45,2.51,50.03,49.48,,
Ahmedabad,20-03-2023,"Residential, Rural and other Areas",61.24,7.92,26.8,32.4,7.92,58.87,56.37,,
Ahmedabad,21-03-2023,"Residential, Rural and other Areas",41.81,9.52,33.56,39.28,9.52,106.93,48.75,,
Ahmedabad,22-03-2023,Industrial Area,55.09,9.05,17.51,22.33,9.05,23.71,42.22,,
Ahmedabad,23-03-2023,"Residential, Rural and other Areas",65.54,22.53,27.96,47.79,22.53,39.19,32.92,,
Ahmedabad,24-03-2023,"Residential, Rural and other Areas",41.04,2.03,20.39,21.4,2.03,40.07,32.49,,
Ahmedabad,25-03-2023,Industrial Area,49.71,1.42,20.43,20.19,1.42,58.41,39.26,,
Ahmedabad,26-03-2023,"Residential, Rural and other Areas",44.75,2.27,21.16,21.81,2.27,43.73,39.83,,
Ahmedabad,27-03-2023,"Residential, Rural and other Areas",45.84,2.19,21.7,23.26,2.19,43.28,41.1,,
Ahmedabad,28-03-2023,Industrial Area,76.36,5.72,21.11,25.84,5.72,36.52,62.42,,
Ahmedabad,29-03-2023,"Residential, Rural and other Areas",44.79,6.93,28.71,33.72,6.93,49.52,59.76,209,Poor
Ahmedabad,30-03-2023,"Residential, Rural and other Areas",50.16,13.85,28.68,41.08,13.85,48.49,97.07,328,Very Poor
Ahmedabad,31-03-2023,"Residential, Rural and other Areas",49.07,24.39,32.66,52.61,24.39,67.39,111.33,514,Severe
Ahmedabad,01-04-2023,Industrial Area,46.06,43.48,42.08,84.57,43.48,75.23,102.7,782,Severe
Ahmedabad,02-04-2023,"Residential, Rural and other Areas",52.82,54.56,35.31,72.8,54.56,55.04,107.38,914,Severe
Ahmedabad,03-04-2023,"Residential, Rural and other Areas",53.39,30.61,28.4,56.73,30.61,33.79,73.6,660,Severe
Ahmedabad,04-04-2023,Industrial Area,59.44,2.37,22.83,24,2.37,25.73,47.3,294,Poor
Ahmedabad,05-04-2023,"Residential, Rural and other Areas",71.01,2.6,21.39,23.31,2.6,32.66,53.54,149,Moderate
Ahmedabad,06-04-2023,"Residential, Rural and other Areas",59.98,1.16,26.94,26.83,1.16,67.41,59.3,190,Moderate
Ahmedabad,07-04-2023,Industrial Area,50.7,7.29,31.32,37.73,7.29,80.09,44.76,247,Poor
Ahmedabad,08-04-2023,"Residential, Rural and other Areas",69.87,8.92,27.3,33.42,8.92,54.28,47.42,379,Very Poor
Ahmedabad,09-04-2023,"Residential, Rural and other Areas",61.53,4.32,24.27,26.86,4.32,48.73,39.94,341,Very Poor
Ahmedabad,10-04-2023,Industrial Area,67.03,1.41,18.21,18.75,1.41,35.91,56.15,256,Poor
Ahmedabad,11-04-2023,"Residential, Rural and other Areas",43.37,6.34,23.8,28.24,6.34,66.58,53.14,388,Very Poor
Ahmedabad,12-04-2023,Industrial Area,60.05,14.19,30.1,44.21,14.19,65.91,31.88,288,Poor
Ahmedabad,13-04-2023,"Residential, Rural and other Areas",56.93,18.18,39.56,57.33,18.18,80.43,40.11,510,Severe
Ahmedabad,14-04-2023,"Residential, Rural and other Areas",44.14,37.49,47.58,77.85,37.49,99.72,36.47,761,Severe
Ahmedabad,15-04-2023,Industrial Area,69,15.55,30.5,44.87,15.55,69.71,33.78,475,Severe
Ahmedabad,16-04-2023,"Residential, Rural and other Areas",43.53,19.85,28.1,47.31,19.85,73.23,30.57,536,Severe
Ahmedabad,17-04-2023,"Residential, Rural and other Areas",16.63,15.96,21.04,35.67,15.96,54.7,36.2,479,Severe
Ahmedabad,18-04-2023,Industrial Area,78.16,16.24,25.93,41.91,16.24,43.11,37.43,592,Severe
Ahmedabad,19-04-2023,"Residential, Rural and other Areas",83.27,11.25,30.09,40.47,11.25,84.86,31.94,427,Severe
Ahmedabad,20-04-2023,"Residential, Rural and other Areas",63.79,33.84,36.14,68.85,33.84,101.53,40.98,588,Severe
Ahmedabad,21-04-2023,Industrial Area,50.27,61.95,46.25,106.92,61.95,84.87,33.55,1141,Severe
Ahmedabad,22-04-2023,"Residential, Rural and other Areas",51.54,45.45,48.21,92.32,45.45,62.96,34.77,669,Severe
Ahmedabad,23-04-2023,"Residential, Rural and other Areas",54.35,77.7,55.07,131.32,77.7,89.07,37.3,1247,Severe
Ahmedabad,24-04-2023,Industrial Area,53.59,12.56,32.01,42.56,12.56,61.54,38.8,411,Severe
Ahmedabad,25-04-2023,"Residential, Rural and other Areas",55.77,2.23,10.45,10.39,2.23,32.76,67.25,292,Poor
